source	target	weight	source_module	target_module
Gene_000	Gene_001	0.867208926382692	blue	blue
Gene_000	Gene_002	0.8290788381477383	blue	blue
Gene_000	Gene_003	0.830609614427811	blue	blue
Gene_000	Gene_004	0.8300005374657472	blue	blue
Gene_000	Gene_005	0.8307239897848022	blue	blue
Gene_000	Gene_006	0.8318417822628117	blue	blue
Gene_000	Gene_007	0.8335095121132904	blue	blue
Gene_000	Gene_008	0.8465909620590893	blue	blue
Gene_000	Gene_009	0.826735391640616	blue	blue
Gene_000	Gene_010	0.834775085216148	blue	blue
Gene_000	Gene_011	0.8333769534696435	blue	blue
Gene_000	Gene_012	0.8304049137514562	blue	blue
Gene_000	Gene_013	0.8299382442453495	blue	blue
Gene_000	Gene_014	0.8318231808140941	blue	blue
Gene_001	Gene_002	0.8653310116133096	blue	blue
Gene_001	Gene_003	0.864465124436029	blue	blue
Gene_001	Gene_004	0.8668621168289178	blue	blue
Gene_001	Gene_005	0.86455499706933	blue	blue
Gene_001	Gene_006	0.8670302913808897	blue	blue
Gene_001	Gene_007	0.8676966609070743	blue	blue
Gene_001	Gene_008	0.8649889816469764	blue	blue
Gene_001	Gene_009	0.860862433204442	blue	blue
Gene_001	Gene_010	0.8665287277745511	blue	blue
Gene_001	Gene_011	0.8653956335883584	blue	blue
Gene_001	Gene_012	0.8650670185200907	blue	blue
Gene_001	Gene_013	0.8651888716297863	blue	blue
Gene_001	Gene_014	0.8688310637945342	blue	blue
Gene_002	Gene_003	0.8089411571064593	blue	blue
Gene_002	Gene_004	0.8163957077387493	blue	blue
Gene_002	Gene_005	0.8114427890548738	blue	blue
Gene_002	Gene_006	0.8186412413674145	blue	blue
Gene_002	Gene_007	0.8327395536174824	blue	blue
Gene_002	Gene_008	0.8454772018664556	blue	blue
Gene_002	Gene_009	0.8090271113627417	blue	blue
Gene_002	Gene_010	0.831700853287282	blue	blue
Gene_002	Gene_011	0.8303645657499225	blue	blue
Gene_002	Gene_012	0.811526331017339	blue	blue
Gene_002	Gene_013	0.8123244156038376	blue	blue
Gene_002	Gene_014	0.8123997224050163	blue	blue
Gene_003	Gene_004	0.7681621062494631	blue	blue
Gene_003	Gene_005	0.7772974080581094	blue	blue
Gene_003	Gene_006	0.8245912552970895	blue	blue
Gene_003	Gene_007	0.8313897322742396	blue	blue
Gene_003	Gene_008	0.846563722632346	blue	blue
Gene_003	Gene_009	0.7845020457145655	blue	blue
Gene_003	Gene_010	0.8341117436476208	blue	blue
Gene_003	Gene_011	0.834651231570897	blue	blue
Gene_003	Gene_012	0.7932338321659839	blue	blue
Gene_003	Gene_013	0.7857916396725805	blue	blue
Gene_003	Gene_014	0.7721800806487609	blue	blue
Gene_004	Gene_005	0.7811843388070899	blue	blue
Gene_004	Gene_006	0.8167629069079255	blue	blue
Gene_004	Gene_007	0.8345289677386485	blue	blue
Gene_004	Gene_008	0.8442928208092346	blue	blue
Gene_004	Gene_009	0.7275419342026211	blue	blue
Gene_004	Gene_010	0.831605452856161	blue	blue
Gene_004	Gene_011	0.8280604139849669	blue	blue
Gene_004	Gene_012	0.7840209970861334	blue	blue
Gene_004	Gene_013	0.7943602873351377	blue	blue
Gene_004	Gene_014	0.7694745533502761	blue	blue
Gene_005	Gene_006	0.8175591607053816	blue	blue
Gene_005	Gene_007	0.8306910842483899	blue	blue
Gene_005	Gene_008	0.8465424887290437	blue	blue
Gene_005	Gene_009	0.7748539063240022	blue	blue
Gene_005	Gene_010	0.833051943512835	blue	blue
Gene_005	Gene_011	0.8323443389514105	blue	blue
Gene_005	Gene_012	0.7872488204763387	blue	blue
Gene_005	Gene_013	0.793829293114998	blue	blue
Gene_005	Gene_014	0.7812476494627243	blue	blue
Gene_006	Gene_007	0.8345353988191202	blue	blue
Gene_006	Gene_008	0.8456399907271961	blue	blue
Gene_006	Gene_009	0.8209734263997935	blue	blue
Gene_006	Gene_010	0.8347472117558762	blue	blue
Gene_006	Gene_011	0.8326673220044709	blue	blue
Gene_006	Gene_012	0.8216010737337585	blue	blue
Gene_006	Gene_013	0.8153369865741322	blue	blue
Gene_006	Gene_014	0.8189961070847945	blue	blue
Gene_007	Gene_008	0.8449411231285503	blue	blue
Gene_007	Gene_009	0.8281896382708984	blue	blue
Gene_007	Gene_010	0.8346126338811012	blue	blue
Gene_007	Gene_011	0.8309866105948213	blue	blue
Gene_007	Gene_012	0.8309063118316667	blue	blue
Gene_007	Gene_013	0.8306450758351186	blue	blue
Gene_007	Gene_014	0.8355168051910848	blue	blue
Gene_008	Gene_009	0.8453890832992075	blue	blue
Gene_008	Gene_010	0.8457570252709784	blue	blue
Gene_008	Gene_011	0.847854819100954	blue	blue
Gene_008	Gene_012	0.8479605529738459	blue	blue
Gene_008	Gene_013	0.8468228909969971	blue	blue
Gene_008	Gene_014	0.8448954032534927	blue	blue
Gene_009	Gene_010	0.8317219553253501	blue	blue
Gene_009	Gene_011	0.8328281506123949	blue	blue
Gene_009	Gene_012	0.7917846663669369	blue	blue
Gene_009	Gene_013	0.7844456775485019	blue	blue
Gene_009	Gene_014	0.7553071893735771	blue	blue
Gene_010	Gene_011	0.8337727904754357	blue	blue
Gene_010	Gene_012	0.8322624791962523	blue	blue
Gene_010	Gene_013	0.8332386817067803	blue	blue
Gene_010	Gene_014	0.8361537025021273	blue	blue
Gene_011	Gene_012	0.8347660736870963	blue	blue
Gene_011	Gene_013	0.832005683093892	blue	blue
Gene_011	Gene_014	0.8303756993945755	blue	blue
Gene_012	Gene_013	0.7892736086476189	blue	blue
Gene_012	Gene_014	0.7847507381162079	blue	blue
Gene_013	Gene_014	0.7951396359420566	blue	blue
